Dates,News,Sentiment label 
17-07-2014,Gold prices gain in Asia as U.S. offers help in Malaysia air crash,positive
29-08-2012,gold snaps seven-day rally; falls from record high,negative
01-06-2004,"gold futures, metals shares pull back",negative
20-07-2017,"August gold off 0.3% at $1,238.10/oz.",negative
08-11-2013,how to invest in gold in india?,none
24-12-2009,"gold, silver show sharp recovery on fresh buying",positive
26-02-2015,"Gold futures rise to Rs 26,434 per 10 gm",positive
27-12-2011,chalice gold to sell zara stake to china's sfeco,none
10-11-2017,"Gold takes a leg lower, but hangs on for first weekly gain in a month",positive
05-02-2018,Expect Gold prices to trade sideways: Sushil Finance,neutral
12-10-2005,dec gold futures up $2.40 at $482.20 an ounce,positive
13-10-2017,"Profit-booking pulls gold futures down to Rs 29,781",negative
29-10-2007,gold futures up $8.70 to $796.20 an ounce,positive
01-04-2011,"silver slips from record high, gold moves up",positive
30-07-2009,"gold rebounds as oil rallies, dollar weakens",positive
12-11-2011,"gold rebounds to climb new highs, silver also shines",positive
18-09-2018,"silver is 'undervalued' relative to stocks, bonds, gold",none
15-04-2013,mcx goldpetal april contract tumbles nearly 6%,negative
24-09-2007,"gold futures edge up, but close below peak",positive
19-02-2018,Gold prices inch up on weaker dollar,positive
30-05-2016,Gold hits 3-1/2 month low on dollar's strength,negative
18-05-2015,"Gold near 3-month high on sluggish US data, dollar",positive
17-05-2012,gold futures recover on firm asian cues,positive
02-03-2016,"Gold extends losses on robust US data, higher shares",negative
06-08-2009,gold remains higher after jobless data,positive
12-06-2017,"August gold down $2.50, or 0.2%, to settle at $1,268.90/oz",negative
06-04-2006,are gold prices signaling inflation?,none
21-04-2006,"amex gold bugs index closes at 373.68, up 4% on day",positive
03-04-2008,gold up $3.10 at $898.30 an ounce,positive
06-09-2011,"technical view on nickel, copper, gold: nirmal bang",none
30-03-2000,"metals futures rally; gold, silver at over two-decade highs",positive
02-04-2018,SEBI may soon allow fund houses to invest in gold futures,none
08-08-2008,december gold down $9.90 to $868 an ounce on globex,negative
10-03-2017,"April gold down $1.80, or 0.2%, to settle at $1,201.40/oz",negative
21-01-2009,india's gold import dips by 47%  to 402 tonnes in 2008,none
07-09-2007,gold futures close over 4% higher for the week,positive
23-02-2015,"gold futures bounce off 7-week low to reclaim $1,200-level",negative
20-07-2009,"gold, silver firms up sharply on higher global cues",positive
26-10-2004,barrick gold q3 net falls,negative
10-01-2011,"gold moves up on local demand, silver declines",positive
01-03-2004,gold: won't predict outcome of eisner vote - cnbc,none
17-07-2014,"stocks, gold and 5 other markets that reacted to the malaysia airlines crash",none
02-11-2017,"gold prices little changed, all eyes on fed pick",neutral
10-09-2004,gold futures end higher for the day and the week,positive
21-09-2015,"gold prices are set to jump, this pattern suggests",positive
27-02-2009,high prices hit gold market; zero import in feb,positive
19-04-2017,"June gold trades at $1,281.80/oz, down from $1,283.40 settlement",negative
17-02-2017,"April gold falls $2.50, or 0.2%, to settle at $1,239.10/oz",negative
22-08-2017,"Dec. gold falls $5.70, or 0.4%, to settle at $1,291/oz",negative
12-04-2017,gold to trade in 28598-29526: achiievers equities,neutral
30-03-2017,"April gold falls $6.90, or 0.6%, at $1,246.80/oz.",negative
05-07-2011,mcx gold futures trade tad higher; spot buying edges up,positive
30-03-2015,gold falls 1% as yellen signals us rate hike on track,negative
26-06-2018,why gold prices are making the metal a great buy,none
06-01-2017,"Gold falls for the session, but gains for a second-straight week",positive
13-12-2002,u.s. stocks headed lower as gold spikes,negative
26-06-2012,"gold spurts by rs 330, silver zooms rs 1,200",positive
28-03-2011,"gold futures up 30c at $1,420.20 an ounce",positive
13-04-2018,cme : gold hedging from hedge funds & traders continues to surge,none
18-08-2017,duty-free imports put pressure on gold prices,none
06-04-2006,correct: gold futures tap $600 in morning trading,none
29-06-2018,gold improves but still on track for 6% quarterly retreat,positive
10-11-2017,"December gold off 0.2% at $1,285.30/oz.",negative
28-10-2016,Gold futures mark third consecutive weekly gain,positive
30-08-2011,Bullion sales vault with gold prices; jewellery loses lustre,none
12-01-2018,gold - higher oil prices a boon or curse?,positive
19-12-2013,Sharp drop in November gold import bill,negative
25-09-2017,Gold prices mark highest finish in more than a week,positive
04-08-2016,Gold futures moderately higher after Bank of England rate cut,positive
25-01-2011,gold slips further after consumer confidence data,negative
15-11-2001,"oil, gold losses hurt canada stocks",negative
19-07-2018,metals focus : poor man's gold more popular in india as prices decline,negative
11-08-2014,"gold holds near 3-week high amid ukraine, iraq tensions",positive
22-04-2008,june gold ends up $7.60 at $925.20 an ounce on nymex,positive
28-02-2002,"gold futures, metals shares gain",positive
27-11-2002,harmony gold mining adrs debut on nyse,none
23-07-2009,gold prices hit fresh six-week highs as dollar index weakens,positive
02-09-2008,gold tumbles $25 in commodities sell-off,negative
21-06-2018,"Gold prices drop to 6-month low on strong dollar, rate outlook",negative
27-08-2015,gold subdued ahead of u.s. gdp data; jackson hole in focus,negative
21-02-2013,gold futures score first gain in six sessions,none
30-08-2016,Gold slips on firmer dollar; seen range-bound,negative
27-06-2013,"gold slides 4%, near 3-year low as wall street rallies",negative
07-11-2013,"gold extends drop after gdp, jobless claims data",negative
27-08-2013,mcx gold december contract gains 1.5%,positive
02-08-2012,gold prices steady; traders seek direction,neutral
18-04-2001,"June gold gains $1.20, or 0.1%, to $1,293.10/oz",positive
22-08-2018,"charts : stocks & gold jump as real routed, dollar dumped",positive
11-05-2012,"gold loses rs 155, silver sheds rs 700 on weak global cues",negative
28-06-2000,gold up after fed's rate decision,positive
19-08-2016,Timmins Gold upgraded to sector perform from underperform at RBC Capital,none
08-02-2007,april gold climbs $2.40 to $659.70/oz in morning trading,positive
15-09-2010,gold down modestly; silver at 30-month high,negative
26-10-2018,gold futures end with weekly roughly 0.6% higher,positive
19-03-2001,"peru's january gold, silver output rises",positive
14-02-2012,"gold futures edge up, hold below $1,730",positive
06-02-2009,gold little changed after u.s. unemployment data,neutral
11-05-2016,"gold glitters on global cues, silver zooms",positive
14-11-2017,gold prices weighed down by tax reform uncertainty,negative
12-07-2017,"August gold climbs $4.40, or 0.4%, to settle at $1,219.10/oz",positive
05-09-2003,gold futures close at highest level since february,positive
19-08-2016,Gold books largest daily decline in 2 weeks,negative
11-07-2007,august gold falls $2.30 to close at $662.10/oz,negative
23-11-2017,citigroup bullish 2018 gold price outlook,none
17-03-2016,april gold futures jump 2.9% to settle at $1.265 an ounce,positive
03-07-2008,gold futures close almost $13 lower,negative
27-07-2018,"august gold settles down $2.70, or 0.2%, at $1,223/oz.",negative
20-09-2017,Gold inches up ahead of Fed policy statement,positive
20-03-2013,"Gold falls in UK as investors weigh Cyprus, Fed statement",negative
25-08-2017,Mnuchin viewed the solar eclipse atop $200 billion of Fort Knox gold,none
30-06-2017,"Gold down for the month, but gains for the first half of the year",positive
24-11-2017,Gold settles lower as the dollar slumps in Black Friday trade,negative
27-09-2016,"Dec. gold down $13.70, or 1%, to settle at $1,330.40/oz",negative
06-05-2016,gold struggles as dollar firms ahead of us jobs data,negative
06-06-2017,Gold posts highest finish in 7 months as havens find support,positive
05-07-2002,"gold rally to resume, say analysts",positive
01-06-2017,gold to trade in 28776-29278: achiievers equities,neutral
10-11-2017,"Gold ends sharply lower on selling pressure, but logs weekly advance",negative
20-07-2011,experts tell you how gold and copper are poised for today,none
07-02-2014,"here's how you should play natural gas, crude and gold",none
19-02-2015,why gold is a better bet than oil,none
20-03-2017,Gold prices settle at a two and a half week high,positive
06-11-2012,buy mcx gold dec around rs 30850; target rs 31040: geojit,none
23-07-2018,"Gold futures up at at Rs 30,188 per 10 gm",positive
25-09-2008,gold falls after bush urges quick action on rescue plan,negative
10-08-2006,gold futures close $16 at $646 an ounce,none
16-10-2017,"December gold up 0.2% at $1,307.10/oz.",positive
03-07-2012,gold may trade in rs 29550-29850 range today: nirmal bang,neutral
19-02-2012,Gold stays strong despite volatility,neutral
10-05-2002,gold funds shine in down week,positive
29-06-2013,"i really like stocks, gold has seen its worst: gartman",none
12-01-2011,gold down after successful portuguese bond-selling,negative
10-01-2018,"Gold edges down to Rs 30,475; silver plunges by Rs 400/kg",negative
23-05-2007,"gold futures close higher as dollar slips, oil gains",positive
25-04-2017,Gold ends at a more-than-2-week low as risky assets draw demand,negative
23-09-2016,"Gold ends lower, but books best weekly gain since July",positive
16-10-2007,"dec. gold last up $7.80, or 1%, at $770 in electronic trade",positive
28-11-2017,"Feb. gold edges up by 30 cents to settle at $1,299.20/oz",positive
19-11-2015,gold logs best one-day gain since late october,positive
08-08-2017,"December gold up 0.2% at $1,267.60/oz.",positive
24-05-2002,gold stocks down ahead of holiday,negative
30-07-2004,"gold ends up for the week, but down for the month",positive
19-06-2014,BSF seizes gold in West Bengal,none
29-03-2018,"gold settles lower for the week, gains for the quarter",positive
16-06-2017,Gold futures end 1.2% lower for the week,negative
19-04-2018,charts : gold rises on chart-based buying,positive
10-11-2005,"dec gold closes at $467.70/brl, up 20c to mark 4-day win",positive
06-11-2013,gold rebounds from three-week low to settle higher,positive
08-05-2012,gold ends at lowest level since year's start,negative
09-06-2017,"Gold prices down at Rs 29,425; silver drops to Rs 40,125",negative
26-05-2017,gold bulls can expect more bad luck,none
09-10-2017,Gold prices extend gains on renewed U.S.-North Korea anxiety,positive
28-04-2015,gold futures score highest settlement in three weeks,positive
24-11-2017,"December gold down 0.2% at $1,289.80/oz.",negative
18-10-2017,Gold edges up from the settlement price after release of Fed Beige Book,positive
27-10-2016,"best year in 4 for diwali gold sales, etfs also in focus",none
03-06-2013,is gold's rally over?,none
16-03-2018,gold/silver ratio signals massive silver rally,positive
12-01-2009,"gold falls to one-month low on dollar, tumbling oil",negative
16-10-2009,"gold futures down $1.90 at $1,048.70",negative
24-02-2015,"gold prices gain after hsbc china flash pmi, but copper lags",positive
19-05-2017,"june gold climbs 80 cents, or less than 0.1%, to settle at $1,253.60/oz",positive
31-10-2011,"MCX Gold, Silver may decline today: Kotak Commodity",negative
30-11-2009,"dec. gold falls $3.60 yo $1,177.50/oz on globex",negative
11-02-2010,"crude, gold stay up after jobless claims",positive
17-01-2012,"Change in import duty on gold, silver 'muted'",none
10-10-2011,gold climbs to log highest close in over two weeks,positive
26-07-2013,Gold recovers on fresh demand; silver marginally up,positive
09-01-2015,"Gold higher, but gains limited by strong dollar",positive
25-04-2011,gold jumps to record high on weak dollar; silver surges,positive
13-10-2016,Gold settles 0.3% higher as dollar slips,positive
26-03-2014,gold dips on robust u.s. durable goods orders,negative
28-07-2017,"Gold prices log highest finish since mid-June, up 1.1% for the week",positive
05-01-2007,"feb. gold drops $21.40, or 3.4%, to $605/oz in ny",negative
13-03-2014,sold on gold,none
07-09-2004,gold and energy weigh on bay street,positive
31-10-2018,"lbma : industry insiders bullish on gold, forecast of $1585 (radio)",none
18-07-2013,gold closes higher to recoup some recent losses,positive
23-06-2017,"gold, silver move higher in morning trade",positive
28-05-2013,"gold, silver slump on subdued demand, weak global sentiment",negative
26-11-2018,wealth management : the $200 trillion gold rush that has reshaped private banking,none
24-11-2015,"Gold, silver, platinum at multi-year low on robust dollar, Fed view",negative
27-10-2018,"Gold hits 6-yr high of Rs 32,625/per 10 grams this week",positive
03-01-2012,after-close gold inches higher after fed minutes,positive
13-08-2018,state bank of india announces launch of revamped gold deposit scheme,none
02-03-2016,gold turns slightly lower after better-than-expected adp report,negative
18-11-2016,"Gold futures fall more than 1% for the week, down a second week in a row",negative
05-02-2004,gold futures dull; mining shares edge up,negative
29-08-2010,"gold prices set to touch rs 20,000 per 10 gram by diwali",positive
06-06-2013,gold gives up gains as ecb's draghi speaks,positive
24-09-2010,"december gold rises to intraday high of $1,300/oz",positive
05-02-2013,gold futures finish lower after two-session rise,negative
14-12-2012,"Gold recovers modestly, silver slips",positive
19-08-2010,"gold ends 0.3% higher at $1,235.40 an ounce",positive
07-04-2016,gold futures gain 0.54% on global cues,positive
15-10-2015,"gold futures turn higher year to date, up 0.3%",positive
27-09-2018,denver gold forum : where does gold go from here?,none
10-10-2018,Gold holds in narrow range as dollar takes breather,neutral
17-11-2017,"Profit-booking pulls gold futures down to Rs 29,560",negative
16-04-2013,"manappuram, muthoot crash 8-10% on falling gold prices",negative
15-11-2017,gold imports fall 16% in october,negative
20-07-2018,Gold slips for 6th straight session,negative
27-09-2006,newmont mining sees temporary decline in equity gold sales,none
25-01-2005,barrick gold sees 2005 gold production 5.4m-5.5m,none
25-09-2012,"imf: turkey, russia, korea boosted gold reserves",none
15-05-2014,"Gold, silver lower ahead of U.S. jobless claims, CPI data",negative
11-11-2010,"gold recaptures $1,400 mark, silver rises 2%",positive
02-11-2001,gold sees steady trading session,neutral
16-03-2007,gold futures close at a more than 1-week high,positive
09-10-2017,"gold prices gain in asia on demand from india, china",positive
12-01-2017,"Gold rings up fresh 7-week high, but loses grip on $1,200 level",positive
15-12-2016,"Gold maintains brutal losses after economic data, off 2.9% at $1,130.40/oz.",negative
17-08-2016,"dec. gold trades at $1,346.20/oz, down from $1,348.80 settlement",negative
21-01-2016,Banks to sell gold coins minted by MMTC,none
20-12-2008,"gold prices decline further, silver recovers",negative
01-07-2014,Gold remains near 14-week high after disappointing ISM report,positive
14-09-2017,"gold futures down 0.13% on weak global cues, profit-booking",negative
23-07-2014,"Gold edges higher as traders monitor Gaza, Ukraine conflicts",positive
06-11-2018,"mining bitcoin is 3 times more expensive than mining gold, research paper finds",none
19-10-2017,"dec. gold climbs $7, or 0.6%, to settle at $1,290/oz",positive
27-07-2009,gold futures up $3.00 at $956.10 an ounce,positive
22-01-2015,"gold slips from &#36;1,300 on profit-taking ahead of ecb",negative
23-06-2014,"Gold gains as Iraq violence continues, U.S. data weigh",positive
03-08-2015,gold takes cues from stronger dollar to finish lower,negative
01-05-2014,"Gold, silver extend losses on Fed taper outlook",negative
20-07-2016,"Gold futures edge down to Rs 31,446",negative
28-10-2016,"gold steady on subdued stocks, set for second weekly gain",neutral
07-02-2017,Gold futures log highest finish since Nov. 10,positive
10-11-2016,Gold prices down a fourth-straight session,negative
18-06-2010,gold soars to fresh closing record,positive
28-01-2011,gold soars as egypt protests prompt safety buying,positive
28-11-2017,northern ireland : gold firm submits plans for its '$1bn' county tyrone mine,none
28-06-2006,"gold drops as traders await fed, dollar rises",negative
12-10-2018,why gold stocks were on fire today,none
29-11-2018,charts : gold - bearish pattern appears - time for cut & reverse strategy!,negative
19-04-2018,uae vendors hope for tax relief on gold following drop in sales,none
11-01-2017,Gold prices trade solidly higher as U.S. dollar index marks session lows,positive
15-07-2014,Gold prices fall in Asia on downbeat reaction to Yellen remark,negative
08-11-2016,World gold council: India demand down 28% in Q3 on high prices,none
11-09-2012,gold ends higher as investors hope for stimulus,positive
07-08-2013,RSBL new gold contract targets exporters,none
18-11-2016,Gold futures suffer a weekly loss of 1.3%,negative
22-07-2009,spot gold down 20 cents at $950.90/barrel,negative
15-08-2017,Gold prices log biggest one-session drop since July 7,negative
29-05-2012,gold futures turn lower in late morning trading,negative
17-01-2006,amex gold bugs index ends lower at 308.37 after 315.4 high,negative
22-11-2010,gold bulls and bears debate outlook,none
25-01-2016,"gold prices rebound on global cues to rs 26,445",positive
20-11-2008,gold rises on safe-haven buying as global stocks slump,positive
23-07-2015,"Gold bounces back above $1,100/oz",positive
17-09-2007,"gold peaks above $728, ends at 16-month high",positive
22-03-2013,customs seize 174 kg gold during apr-feb: p chidambaram,none
05-04-2017,Gold extends early losses after ADP employment report,negative
27-04-2015,"Gold struggles below $1,200 on strong equities; Fed meet eyed",none
19-06-2009,"gold falls on weak global cues, silver declines by rs 200",negative
01-11-2017,Gold prices rise from Comex settlement after Fed statement,positive
01-07-2011,google's chrome strikes market share gold,none
17-03-2017,Gold heads for first weekly gain in three as Fed signal hurts dollar,positive
02-04-2018,"Gold jumps to Rs 31,460 on global cues, spot demand",positive
12-04-2007,"gold rises on weaker dollar, inflation concerns",positive
12-11-2017,Next subscription for sovereign gold bonds to begin from Nov 13,none
09-05-2017,Gold futures mark lowest finish since mid-March,negative
29-04-2014,gold dips as market braces for fed's policy statement,negative
23-04-2010,"gold futures down $3.40 at $1,139.50 an ounce",negative
29-10-2018,cftc : money managers left gold shorts at a record pace,none
15-02-2017,"Gold off $3.30, or 0.3%, at $1,222.20/oz., was trading flat ahead of data",negative
17-04-2017,Gold gains 3% in 4 sessions as global tensions drive 'haven' demand,positive
14-10-2010,high gold prices fail to deter buyers ahead of festive season,positive
10-10-2005,"dec gold closes at $478/oz, up 30c after $479.60 high",positive
07-11-2005,philadelphia gold/silver index up 0.4% to end at 106.24,positive
09-07-2012,"silver gains rs 350 on global cues, gold ends flat",positive
30-07-2004,gold futures climb on weak gdp,positive
05-03-2014,gold falls 1% as ukraine tensions ease,negative
24-03-2014,is it time to give up on gold?,none
09-11-2017,gold nudges up as dollar eases; palladium holds near multi-year peaks,positive
06-10-2017,"Gold prices edge higher for the session, but end the week lower",negative
16-10-2003,"gold market climbs after economic, financial data",positive
15-09-2003,gold marks four-session losing streak,negative
29-08-2011,"at what levels does dani comm suggest a buy on gold, crude?",none
01-10-2012,gold falls for second straight day on signs of global slowdown,negative
25-05-2018,ray dalio said last year gold was good protection because of trump and north korea 'playing chicken',none
01-04-2008,"gold futures drop sharply, as dollar gains",negative
15-05-2010,gold vs silver ratio,none
01-08-2017,Gold dips on profit-taking after touching 7-week high,positive
05-09-2017,"gold edges up, hovers near 1-year high on haven demand",positive
30-10-2014,"gold, silver futures down sharply after end of fed qe",negative
15-07-2016,"Gold futures fall to Rs 31,330 on weak global cues",negative
15-12-2004,feb gold up $5.10 at $442.40/oz in midday trade,positive
27-09-2017,"December gold down 1% at $1,289.40/oz.",negative
30-08-2016,gold futures soften on weak global cues,negative
22-04-2013,gold takes a breather; can test usd 1522/ounce: sharekhan,positive
23-12-2011,"Gold futures up on global cues, spot demand",positive
07-03-2017,Gold futures mark lowest settlement since Feb. 1,negative
08-12-2016,new rules for gold investing may open the market to 1.6 billion muslims,none
26-02-2008,gold futures rebound as dollar drops,negative
01-09-2017,"gold edges lower, but n.korea worries lend support",negative
07-07-2007,"gold tumbles to 9-month low at rs 8,520 
",negative
23-03-2017,"April gold down $2.50, or 0.2%, to settle at $1,247.20/oz",negative
21-11-2011,Gold may trade with negative bias: Angel Commodities,negative
06-02-2018,world gold council : global gold demand dips 7% but jewellery demand up,none
05-07-2006,web music companies seeks gold in oldies,none
31-01-2017,gold to trade in 28249-28697 range: achiievers equities,neutral
08-07-2013,gold correction may be mostly done: deutsche bank,none
22-11-2017,"Dec. gold climbs $10.50, or 0.8%, to $1,292.20/oz ahead of settlement",positive
05-07-2017,"August gold trades at $1,222.30/oz, after $1,221.70 settlement before Fed minutes",negative
01-02-2017,Gold futures edge up in electronic trade as Fed offers few clues on next move,positive
01-12-2011,Gold may test Rs 29500 on higher end: Nirmal Bang,positive
21-09-2017,"December gold trades 1.9% lower at $1,292.50/oz., on track for worst daily loss since July 3",negative
21-08-2018,gold at 1-week high as trump remarks on fed weigh on dollar,positive
24-06-2008,gold futures close higher as the dollar weakens,positive
13-02-2017,"April gold falls $10.10, or 0.8%, to settle at $1,225.80/oz",negative
03-10-2016,"Dec. gold falls $4.40, or 0.3%, to settle at $1,312.70/oz",negative
07-04-2010,"gold climbs to highest since jan, ignoring dollar",positive
26-08-2015,"dec. gold settles at $1,124.60/oz on comex, down $13.70, or 1.2%",negative
14-05-2008,"gold futures close lower, lose over $19 in three days",negative
10-01-2018,inflation expectations play on gold in 2018,none
01-09-2017,Gold prices move 2.5% higher for the week,positive
25-04-2013,gold futures logs biggest one-day gain of the year,positive
15-09-2016,"Gold futures up at Rs Rs 31,220 per 10 gm",positive
14-10-2011,India gold edges higher but strong rupee limits upside,positive
11-12-2008,gold futures up $14.60 at $823.40 an ounce,positive
13-09-2016,"Gold gives up gains, extends losing streak to a fifth session",positive
06-09-2012,"gold at 6-mth high ahead of ecb meeting, u.s. payrolls",positive
06-10-2017,"Dec. gold down $1.40, or 0.1%, to $1,271.80/oz",negative
30-09-2000,wold bank chief supports uk proposal on imf gold,none
12-08-2013,gold & silver imports dip 34% to $2.9 billion in july,none
23-07-2014,"Gold falls as stocks rise on U.S. data, earnings",negative
19-06-2014,"If gold dips to $1270-71/oz, buy",negative
08-10-2015,Gold falls in Asia as Fed minutes signal steady rates for now,negative
16-08-2017,"gold slips on rising risk appetite, silver plunges over 1%",negative
01-07-2010,gold contracts set record open interest: cme,none
17-08-2011,india gold extends gains to near peak; buying absent,positive
16-08-2016,gold extends gains after u.s. inflation data disappoints,positive
01-10-2012,"gold, silver fall on reduced offtake, global cues",negative
16-02-2016,why gold has utterly failed as a 'safe haven',none
16-06-2017,Gold steadies after rate hike sell-off,neutral
10-04-2017,"June gold falls $3.40, or 0.3%, to settle at $1,253.90/oz",negative
17-10-2017,"December gold down 1.2% at $1,287/oz.",negative
22-10-2009,"gold futures down $10.00 at $1,054.50 an ounce",negative
24-07-2017,"Gold settles a few cents lower, ends six-session streak of gains",negative
30-09-2016,Gold futures trade nearly flat for the quarter,neutral
18-03-2013,"Gold climbs on global cues, silver recovers",positive
01-02-2017,Gold futures settle lower ahead of Fed announcement,negative
16-06-2017,"Gold import rebounds, again",positive
03-04-2017,Gold settles modestly higher as stocks stage retreat,positive
05-07-2017,Gold futures prices settle higher ahead of FOMC minutes,positive
21-12-2017,"gold hovers near 2-week high amid steady dollar, weaker stocks",positive
13-10-2017,gold extends rally ahead of us data; eyes 1st weekly gain in five,positive
09-11-2004,"dec gold closes at $436.20/oz, up $2.80 for the day",positive
11-02-2004,gold prices end near $411 an ounce,none
17-09-2018,zimbabwe : us$100 million gold centres on cards,none
20-04-2006,newmont mining sees '06 gold sales 7.7m to 7.9m ounces,none
06-02-2012,mcx gold february contract trading lower,negative
29-11-2011,MCX GOLD Dec contract slips marginally,negative
11-11-2016,"Gold futures suffer a weekly loss of more than 6%, largest since 2013",negative
01-02-2017,Gold tilts slightly lower after ADP's private-employment report,negative
27-08-2010,"gold, silver lose some steam but settle higher",positive
29-09-2016,"December gold off 0.2% at $1,320.60/oz.",negative
28-01-2013,gold languishes near 2-week low as eco recovery hopes weigh,negative
16-07-2017,these 3 charts show hedge funds losing faith in gold,none
23-11-2017,geopolitical risk highest 'in four decades' - gold demand in germany and globally to remain robust,positive
09-08-2016,"December gold gains $5.40, or 0.4%, to settle at $1,346.70/oz.",positive
28-07-2004,"spot gold quoted at $389.10, up 60 cents from new york",positive
01-09-2017,Gold futures up after Friday jobs report,positive
22-05-2002,how high can gold go?,positive
19-10-2010,"gold settles 2.6% lower, worst drop in three months",negative
14-06-2018,"india gold discounts widest in nine months, activity muted elsewhere",none
13-12-2017,gold prices steady as sluggish inflation persists,neutral
14-09-2000,dec gold climbs $3.10 to $453.10/oz in afternoon dealings,positive
02-09-2011,"gold not done yet, expert says sept to bring all-time high",positive
04-02-2015,mcx goldm march contract gains,positive
22-07-2016,acacia profit jumps on gold boost; lifts dividend,positive
24-08-2011,"gold settles 5.6% lower at $1,757.30 an ounce",negative
05-12-2018,charts : gold breaks the 200 sma but faces further resistance above,none
10-11-2005,spot gold quoted at $465.10 in asia trade,positive
16-02-2017,gold trades higher on soft dollar; likely to remain volatile in near term,positive
03-08-2015,"gold down slightly in early asia as investors eye china, fed",negative
03-02-2014,mark mobius loves diamonds but not gold,none
06-09-2007,gold futures climb past $700 an ounce,positive
30-09-2009,"gold lags equities, still long-term favourite",none
06-07-2018,incrementum ag : now is the time to buy gold as negative sentiment is exhausted,none
28-07-2016,Gold holds overnight gains as Fed keeps interest rates steady,neutral
04-07-2016,"Gold eases off near 2-year high, silver crosses $21/oz",positive
09-03-2012,"gold settles 0.8% higher at $1,711.50 an ounce",positive
08-08-2006,gold kist q3 loss 14c vs. profit 87c,negative
27-11-2017,"Gold rises to Rs 30,550 on firm global cues, jewellers' buying",positive
22-11-2016,Gold prices extend rebound to a second-straight session,positive
02-02-2015,gold prices mostly steady in asia with chinese new year demand eyed,neutral
06-02-2006,"april gold trades near session's high, up $5.40 at $577/oz",positive
04-10-2010,most gold bugs confident,none
26-09-2017,"Gold falls below $1,300 an ounce ahead of Comex settlement",negative
29-01-2007,"feb. gold up $2.80 at $647.50/oz, recovers from $640.80 low",positive
13-09-2016,Gold futures finish lower for a fifth straight session,negative
06-04-2011,asian shares mostly higher; gold mining plays rally,positive
27-02-2017,Gold prices eke out 3rd gain in a row,positive
08-03-2006,front-month gold futures down $9.20 at $545.30/ounce,negative
28-02-2012,gold inches up on weak dollar with eyes on ecb,positive
14-10-2014,"Gold prices ease in Asia as dollar mostly steady, holiday demand eyed",none
23-03-2004,gold prices end higher for seventh session,positive
11-08-2016,"Gold finishes lower as stocks rally, dollar strengthens",negative
20-11-2014,"gold futures maintain losses after u.s. cpi, jobless claims data",negative
14-06-2006,august gold up $2.20 at $569/oz in afternoon dealings,positive
27-09-2013,e-series investors can redeem gold,none
20-07-2007,august gold last up $3.90 to $682/oz in morning trading,positive
30-03-2011,gold ends losing streak as price dip lures buyers,negative
13-02-2012,gold breaks on cue - is rebound coming?,none
13-06-2018,"august gold trades at $1,304/oz, after $1,301.30 comex settlement",positive
15-04-2014,Gold prices continue gains in Asia from overnight,positive
18-03-2004,"spot gold bid at $407.10 an ounce, up 60c - kitco",positive
16-07-2012,Post offices offer discount on gold coins sale,none
17-01-2014,comex gold adds to gains after sentiment data,positive
01-03-2013,Gold still holds sway in household savings,none
16-08-2007,gold and other metals end with sharp losses,negative
16-04-2014,"MCX-gold (<U+20B9>28,500): BUY",none
27-07-2004,berma gold gets $60m bridge loan for kupol development,none
04-05-2006,"june gold up $8, or 1.2%, to close at $676.50/oz",positive
13-01-2015,Gold climbs to 12-week high,positive
13-10-2017,"Gold rises after U.S. inflation, retail sales data",positive
05-05-2011,"hold on to that gold, it could glitter for some more time",none
08-07-2008,august gold ends down $5.50 to $923.30 an ounce on nymex,negative
16-11-2011,"gold closes 0.4% lower at $1,774.30 an ounce",negative
13-08-2018,"gold to break 1200 finally, head towards 1172 fibonacci level",positive
12-09-2016,"Gold futures down at Rs 31,280 on weak global cues",negative
08-08-2016,Gold futures marks lowest settlement since July 28,negative
20-09-2000,"spot gold quoted at $404.50, down 40c from new york",negative
03-09-2018,super bullish gold and silver setup does not bode well for the dollar...,positive
25-06-2012,gold prices: mcx goldm july contract slips,negative
27-09-2017,Gold marks fresh September low as dollar gains,negative
29-05-2014,gold drops to 4-month low ahead of u.s. gdp report,negative
03-08-2011,forward gold sales suggest fears prices may fall,negative
20-09-2015,Gold / Silver / Copper futures - weekly outlook: September 21 - 25,none
23-07-2013,"reducing import of gold not a solution to high cad: dk joshi, crisil",none
31-10-2016,gold sheds 3% for october but still underpinned by election jitters,negative
24-09-2012,"gold, silver extend losses on global cues",negative
25-10-2011,dhanteras has a silver lining: high cost of gold makes silver people's favourite this year,positive
24-09-2018,Gold edges lower as dollar holds firm,negative
06-07-2017,"August gold up 0.3% at $1,224.90/oz.",positive
21-10-2009,"gold futures down $2.80 at $1,055.80 an ounce",negative
14-01-2005,gold etf continues to shine,none
18-05-2011,"gold, silver rally on renewed fears of inflation",positive
24-04-2017,"gold, silver slip over 0.50%, prices to stay range bound",negative
17-05-2010,gold bugs rampant,none
01-03-2017,gold to trade in 29422-29722 range: achiievers equities,neutral
04-01-2019,free : interactive gold charts here ...,none
06-06-2006,gold futures fall as much as $17 in morning trading,negative
22-09-2017,"Gold ends slightly higher North Korea threat, but posts weekly decline",positive
12-05-2014,Gold prices gain in Asia with support from Ukraine tensions,positive
18-10-2017,Gold prices settle lower ahead of Fed Beige Book release,negative
07-07-2008,august gold down $12.10 to $921.50 an ounce on nymex,negative
26-08-2016,Gold futures settle with a loss of 1.5% for the week,negative
11-08-2011,trend shifts coming for stocks and gold?,none
